Property name,No. BRs,No. Beds,No. Baths,No. Guests allowed,Nightly Rate,Cleaning Fee,Rating,No. Reviews,Superhost Status (1 / 0),Amenities,Pets (1 / 0),Property Type,Location,Location Rating,Price_per_Guest,Link,Season
Sample Property 2636,1,1,1.0,2,111.73,100.05,3.93,80,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Sunriver, OR",4.4,55.87,https://www.airbnb.com/rooms/sample_855,Off-Peak
Sample Property 6535,5,5,5.0,12,200.02,264.8,4.39,202,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Seventh Mountain, Bend, OR",4.6,16.67,https://www.airbnb.com/rooms/sample_65734,Off-Peak
Sample Property 7546,3,5,2.0,6,266.63,178.74,4.57,146,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Old Bend, Bend, OR",4.9,44.44,https://www.airbnb.com/rooms/sample_83880,Shoulder
Sample Property 9815,2,2,2.0,4,146.27,117.69,4.33,59,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Old Bend, Bend, OR",4.6,36.57,https://www.airbnb.com/rooms/sample_29856,Off-Peak
Sample Property 7295,3,5,3.0,6,265.44,172.97,4.11,160,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Summit West, Bend, OR",4.2,44.24,https://www.airbnb.com/rooms/sample_53352,Shoulder
Sample Property 1956,4,5,4.0,9,312.14,190.65,3.84,160,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Old Bend, Bend, OR",4.2,34.68,https://www.airbnb.com/rooms/sample_58872,Shoulder
Sample Property 7893,3,3,2.0,6,205.1,162.28,4.38,229,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Larkspur, Bend, OR",4.4,34.18,https://www.airbnb.com/rooms/sample_48405,Shoulder
Sample Property 8679,1,3,1.0,2,235.68,89.69,3.77,219,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Tumalo State Park, Bend, OR",4.9,117.84,https://www.airbnb.com/rooms/sample_32636,Peak
Sample Property 1980,1,1,1.0,2,80.95,97.77,3.79,160,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Old Bend, Bend, OR",4.6,40.48,https://www.airbnb.com/rooms/sample_23094,Off-Peak
Sample Property 1784,2,4,1.0,5,193.65,130.51,4.77,298,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Sunriver, OR",4.3,38.73,https://www.airbnb.com/rooms/sample_49690,Shoulder
Sample Property 7002,3,4,3.0,6,158.88,168.72,4.01,91,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Larkspur, Bend, OR",4.5,26.48,https://www.airbnb.com/rooms/sample_49727,Off-Peak
Sample Property 4124,5,6,4.0,11,452.14,246.65,3.91,107,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Seventh Mountain, Bend, OR",4.2,41.1,https://www.airbnb.com/rooms/sample_32094,Peak
Sample Property 1830,3,5,2.0,6,175.96,163.71,4.15,57,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Sunriver, OR",5.0,29.33,https://www.airbnb.com/rooms/sample_51991,Off-Peak
Sample Property 6237,1,1,1.0,3,149.02,86.57,4.57,236,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Sunriver, OR",4.7,49.67,https://www.airbnb.com/rooms/sample_9663,Peak
Sample Property 3744,5,6,5.0,12,275.34,242.92,4.01,219,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Summit West, Bend, OR",4.2,22.94,https://www.airbnb.com/rooms/sample_43920,Off-Peak
Sample Property 6881,2,3,1.0,4,272.26,125.02,4.42,99,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Southwest Bend, Bend, OR",4.6,68.06,https://www.airbnb.com/rooms/sample_9824,Peak
Sample Property 1851,1,1,1.0,4,186.88,99.26,4.36,177,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Sunriver, OR",4.8,46.72,https://www.airbnb.com/rooms/sample_93611,Peak
Sample Property 9967,5,7,5.0,10,380.62,243.77,4.08,89,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Sunriver, OR",4.5,38.06,https://www.airbnb.com/rooms/sample_82746,Shoulder
Sample Property 6988,5,6,5.0,12,487.41,258.77,4.63,191,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Tumalo State Park, Bend, OR",4.4,40.62,https://www.airbnb.com/rooms/sample_65511,Peak
Sample Property 9787,5,5,5.0,10,487.46,236.58,4.74,186,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Southwest Bend, Bend, OR",5.0,48.75,https://www.airbnb.com/rooms/sample_24467,Peak
Sample Property 8266,4,4,4.0,9,297.93,209.86,4.4,52,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Southwest Bend, Bend, OR",4.9,33.1,https://www.airbnb.com/rooms/sample_21690,Shoulder
Sample Property 8056,2,2,2.0,6,212.78,134.96,3.65,6,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Tumalo State Park, Bend, OR",4.4,35.46,https://www.airbnb.com/rooms/sample_88859,Shoulder
Sample Property 9702,2,3,2.0,4,153.09,125.23,4.86,131,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Tumalo State Park, Bend, OR",4.8,38.27,https://www.airbnb.com/rooms/sample_26791,Off-Peak
Sample Property 4709,3,4,2.0,8,148.95,169.95,3.58,0,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Southwest Bend, Bend, OR",4.4,18.62,https://www.airbnb.com/rooms/sample_28017,Off-Peak
Sample Property 6348,1,1,1.0,2,94.48,90.13,3.88,146,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Seventh Mountain, Bend, OR",4.2,47.24,https://www.airbnb.com/rooms/sample_52639,Off-Peak
Sample Property 7819,1,1,1.0,3,178.8,81.92,4.2,185,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Summit West, Bend, OR",4.4,59.6,https://www.airbnb.com/rooms/sample_4836,Shoulder
Sample Property 1924,3,4,3.0,6,374.55,155.07,3.7,34,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Old Bend, Bend, OR",4.7,62.43,https://www.airbnb.com/rooms/sample_50991,Peak
Sample Property 9415,1,2,1.0,3,158.59,85.31,4.98,266,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Sunriver, OR",5.0,52.86,https://www.airbnb.com/rooms/sample_72475,Shoulder
Sample Property 6989,1,1,1.0,3,139.37,85.16,4.87,22,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Old Bend, Bend, OR",4.8,46.46,https://www.airbnb.com/rooms/sample_13457,Shoulder
Sample Property 5544,5,6,5.0,11,357.56,243.29,4.51,287,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Old Bend, Bend, OR",4.5,32.51,https://www.airbnb.com/rooms/sample_61878,Shoulder
Sample Property 2252,3,5,2.0,6,298.73,195.39,4.43,65,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Seventh Mountain, Bend, OR",5.0,49.79,https://www.airbnb.com/rooms/sample_55394,Peak
Sample Property 8648,2,3,2.0,6,202.2,147.19,4.68,29,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Summit West, Bend, OR",4.9,33.7,https://www.airbnb.com/rooms/sample_39812,Shoulder
Sample Property 5300,2,2,1.0,4,229.88,134.03,3.81,42,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Larkspur, Bend, OR",4.5,57.47,https://www.airbnb.com/rooms/sample_80720,Peak
Sample Property 7777,3,4,2.0,6,241.86,170.15,3.84,276,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Summit West, Bend, OR",4.2,40.31,https://www.airbnb.com/rooms/sample_79253,Shoulder
Sample Property 8240,1,1,1.0,3,82.51,81.81,3.64,46,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Seventh Mountain, Bend, OR",4.9,27.5,https://www.airbnb.com/rooms/sample_52797,Off-Peak
Sample Property 1638,1,2,1.0,2,124.39,84.24,4.89,13,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Old Bend, Bend, OR",4.7,62.2,https://www.airbnb.com/rooms/sample_4622,Shoulder
Sample Property 9172,3,5,3.0,8,316.58,181.2,4.8,293,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Southwest Bend, Bend, OR",4.7,39.57,https://www.airbnb.com/rooms/sample_10268,Shoulder
Sample Property 7288,2,4,2.0,4,114.54,126.49,4.01,24,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Southwest Bend, Bend, OR",4.5,28.64,https://www.airbnb.com/rooms/sample_26735,Off-Peak
Sample Property 3739,4,6,3.0,9,349.85,220.67,4.47,225,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Southwest Bend, Bend, OR",4.3,38.87,https://www.airbnb.com/rooms/sample_28025,Peak
Sample Property 7986,1,1,1.0,2,76.99,85.13,3.63,94,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Seventh Mountain, Bend, OR",4.5,38.49,https://www.airbnb.com/rooms/sample_4325,Off-Peak
Sample Property 3551,4,6,3.0,9,297.25,212.74,4.58,61,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Larkspur, Bend, OR",4.6,33.03,https://www.airbnb.com/rooms/sample_46515,Shoulder
Sample Property 7283,5,5,4.0,11,365.31,241.85,3.67,89,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Seventh Mountain, Bend, OR",4.5,33.21,https://www.airbnb.com/rooms/sample_32255,Shoulder
Sample Property 7038,4,4,4.0,10,192.79,206.15,4.32,12,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Old Bend, Bend, OR",4.1,19.28,https://www.airbnb.com/rooms/sample_19217,Off-Peak
Sample Property 1235,1,3,1.0,3,146.54,87.97,4.11,136,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Southwest Bend, Bend, OR",4.9,48.85,https://www.airbnb.com/rooms/sample_36160,Shoulder
Sample Property 5820,4,4,3.0,10,380.25,205.67,3.78,77,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Old Bend, Bend, OR",4.9,38.02,https://www.airbnb.com/rooms/sample_84057,Peak
Sample Property 3190,2,4,1.0,5,251.03,121.56,4.37,144,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Summit West, Bend, OR",4.5,50.21,https://www.airbnb.com/rooms/sample_36456,Peak
Sample Property 6567,3,5,3.0,7,225.43,181.44,3.75,110,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Seventh Mountain, Bend, OR",4.8,32.2,https://www.airbnb.com/rooms/sample_10790,Shoulder
Sample Property 5612,1,1,1.0,2,127.96,85.75,4.82,117,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Summit West, Bend, OR",4.5,63.98,https://www.airbnb.com/rooms/sample_64436,Shoulder
Sample Property 7898,5,5,5.0,12,517.39,263.56,4.35,281,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Larkspur, Bend, OR",4.2,43.12,https://www.airbnb.com/rooms/sample_14154,Peak
Sample Property 1827,2,3,2.0,5,124.62,125.6,4.39,132,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Tumalo State Park, Bend, OR",4.8,24.92,https://www.airbnb.com/rooms/sample_65311,Off-Peak
Sample Property 4476,2,2,1.0,6,95.21,128.74,3.75,181,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Tumalo State Park, Bend, OR",4.6,15.87,https://www.airbnb.com/rooms/sample_68245,Off-Peak
Sample Property 8973,1,1,1.0,3,197.04,66.79,4.02,209,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Larkspur, Bend, OR",4.6,65.68,https://www.airbnb.com/rooms/sample_41915,Peak
Sample Property 5757,4,6,4.0,9,335.78,203.02,3.83,48,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Old Bend, Bend, OR",4.1,37.31,https://www.airbnb.com/rooms/sample_52854,Shoulder
Sample Property 3482,4,6,4.0,8,402.58,193.88,3.81,210,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Southwest Bend, Bend, OR",4.6,50.32,https://www.airbnb.com/rooms/sample_42461,Peak
Sample Property 6232,3,4,3.0,7,303.6,189.5,4.1,165,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Summit West, Bend, OR",4.3,43.37,https://www.airbnb.com/rooms/sample_12343,Shoulder
Sample Property 8643,3,4,2.0,8,147.76,169.3,4.76,7,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Seventh Mountain, Bend, OR",4.2,18.47,https://www.airbnb.com/rooms/sample_76219,Off-Peak
Sample Property 8970,5,6,5.0,12,377.86,259.78,3.86,77,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Tumalo State Park, Bend, OR",5.0,31.49,https://www.airbnb.com/rooms/sample_54772,Shoulder
Sample Property 9705,5,6,5.0,11,341.6,267.65,4.87,196,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Southwest Bend, Bend, OR",4.4,31.05,https://www.airbnb.com/rooms/sample_76919,Shoulder
Sample Property 6619,4,4,4.0,9,384.93,204.55,4.96,279,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Seventh Mountain, Bend, OR",4.9,42.77,https://www.airbnb.com/rooms/sample_86144,Peak
Sample Property 8368,1,2,1.0,2,223.1,96.72,3.71,234,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Seventh Mountain, Bend, OR",4.9,111.55,https://www.airbnb.com/rooms/sample_74533,Peak
Sample Property 8141,3,4,2.0,6,318.17,152.97,4.74,86,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Sunriver, OR",4.3,53.03,https://www.airbnb.com/rooms/sample_81183,Peak
Sample Property 3681,3,4,2.0,6,273.18,157.2,4.13,129,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Old Bend, Bend, OR",4.1,45.53,https://www.airbnb.com/rooms/sample_11556,Peak
Sample Property 2333,3,4,3.0,6,281.83,161.16,4.21,110,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Summit West, Bend, OR",4.5,46.97,https://www.airbnb.com/rooms/sample_59130,Shoulder
Sample Property 8617,4,6,3.0,10,299.99,199.51,3.66,200,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Summit West, Bend, OR",4.7,30.0,https://www.airbnb.com/rooms/sample_83560,Shoulder
Sample Property 4549,2,2,2.0,6,142.65,139.73,3.51,11,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Summit West, Bend, OR",4.9,23.78,https://www.airbnb.com/rooms/sample_35773,Off-Peak
Sample Property 2750,1,2,1.0,4,148.83,102.86,4.59,197,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Old Bend, Bend, OR",4.6,37.21,https://www.airbnb.com/rooms/sample_90601,Shoulder
Sample Property 1390,5,6,5.0,11,505.43,237.23,3.55,116,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Southwest Bend, Bend, OR",4.4,45.95,https://www.airbnb.com/rooms/sample_99805,Peak
Sample Property 8693,2,4,1.0,6,158.82,133.4,4.39,107,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Summit West, Bend, OR",4.7,26.47,https://www.airbnb.com/rooms/sample_2984,Off-Peak
Sample Property 8564,2,4,2.0,6,300.85,134.85,4.44,15,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Southwest Bend, Bend, OR",4.0,50.14,https://www.airbnb.com/rooms/sample_52394,Peak
Sample Property 8206,2,3,2.0,6,272.82,128.28,3.51,28,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Tumalo State Park, Bend, OR",4.5,45.47,https://www.airbnb.com/rooms/sample_33040,Peak
Sample Property 4760,4,6,4.0,9,425.74,189.15,3.67,141,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Seventh Mountain, Bend, OR",4.7,47.3,https://www.airbnb.com/rooms/sample_40601,Peak
Sample Property 2828,1,1,1.0,4,166.01,80.02,4.68,197,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Old Bend, Bend, OR",4.9,41.5,https://www.airbnb.com/rooms/sample_80098,Shoulder
Sample Property 4564,1,3,1.0,4,203.34,106.21,3.68,106,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Larkspur, Bend, OR",4.2,50.84,https://www.airbnb.com/rooms/sample_55555,Peak
Sample Property 8657,5,5,4.0,12,520.03,254.7,4.27,61,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Southwest Bend, Bend, OR",4.2,43.34,https://www.airbnb.com/rooms/sample_7288,Peak
Sample Property 8490,5,7,5.0,10,247.34,261.26,3.91,28,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Larkspur, Bend, OR",4.9,24.73,https://www.airbnb.com/rooms/sample_29193,Off-Peak
Sample Property 9228,1,1,1.0,4,135.91,83.69,3.83,283,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Sunriver, OR",4.5,33.98,https://www.airbnb.com/rooms/sample_2397,Shoulder
Sample Property 8314,3,4,3.0,7,351.68,166.41,4.8,91,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Summit West, Bend, OR",4.3,50.24,https://www.airbnb.com/rooms/sample_51757,Peak
Sample Property 1556,1,1,1.0,4,93.9,88.41,4.81,30,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Summit West, Bend, OR",4.2,23.48,https://www.airbnb.com/rooms/sample_42535,Off-Peak
Sample Property 8009,2,3,1.0,4,185.55,111.07,4.45,162,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Tumalo State Park, Bend, OR",4.4,46.39,https://www.airbnb.com/rooms/sample_13282,Shoulder
Sample Property 2265,4,6,3.0,8,198.51,214.09,4.92,191,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Tumalo State Park, Bend, OR",4.6,24.81,https://www.airbnb.com/rooms/sample_20954,Off-Peak
Sample Property 6043,3,4,2.0,7,350.41,162.6,4.64,6,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Southwest Bend, Bend, OR",4.3,50.06,https://www.airbnb.com/rooms/sample_96215,Peak
Sample Property 2098,2,3,1.0,5,255.97,131.08,3.83,129,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Tumalo State Park, Bend, OR",4.3,51.19,https://www.airbnb.com/rooms/sample_44414,Peak
Sample Property 1933,4,4,4.0,10,278.06,204.33,3.84,162,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Tumalo State Park, Bend, OR",4.6,27.81,https://www.airbnb.com/rooms/sample_23020,Shoulder
Sample Property 4633,3,4,3.0,6,336.83,158.13,4.64,180,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Tumalo State Park, Bend, OR",4.2,56.14,https://www.airbnb.com/rooms/sample_527,Peak
Sample Property 6797,1,2,1.0,4,76.47,108.01,3.84,213,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Old Bend, Bend, OR",4.8,19.12,https://www.airbnb.com/rooms/sample_29760,Off-Peak
Sample Property 9357,5,5,4.0,10,225.95,225.76,3.94,216,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Sunriver, OR",4.0,22.59,https://www.airbnb.com/rooms/sample_32982,Off-Peak
Sample Property 3720,3,3,3.0,6,303.04,169.77,4.34,241,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Seventh Mountain, Bend, OR",4.1,50.51,https://www.airbnb.com/rooms/sample_45005,Shoulder
Sample Property 2709,1,1,1.0,3,138.91,79.37,4.54,142,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Seventh Mountain, Bend, OR",4.1,46.3,https://www.airbnb.com/rooms/sample_71627,Shoulder
Sample Property 1552,5,7,5.0,11,279.52,265.24,4.56,263,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Old Bend, Bend, OR",4.3,25.41,https://www.airbnb.com/rooms/sample_24827,Off-Peak
Sample Property 5109,3,4,2.0,7,240.53,191.83,3.62,11,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Sunriver, OR",4.9,34.36,https://www.airbnb.com/rooms/sample_26746,Shoulder
Sample Property 8979,3,5,2.0,6,221.24,169.18,4.33,210,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Tumalo State Park, Bend, OR",4.5,36.87,https://www.airbnb.com/rooms/sample_60316,Shoulder
Sample Property 1158,2,4,2.0,4,151.82,128.89,4.12,23,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire cabin,"Tumalo State Park, Bend, OR",4.4,37.95,https://www.airbnb.com/rooms/sample_39444,Off-Peak
Sample Property 2394,4,5,4.0,10,207.89,227.81,3.93,124,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Old Bend, Bend, OR",4.6,20.79,https://www.airbnb.com/rooms/sample_84879,Off-Peak
Sample Property 5648,1,3,1.0,3,96.48,87.09,3.87,110,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Southwest Bend, Bend, OR",4.7,32.16,https://www.airbnb.com/rooms/sample_69351,Off-Peak
Sample Property 8062,1,3,1.0,2,124.34,105.38,4.18,9,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Larkspur, Bend, OR",4.4,62.17,https://www.airbnb.com/rooms/sample_76620,Off-Peak
Sample Property 4192,1,1,1.0,4,165.16,76.95,4.41,174,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Larkspur, Bend, OR",4.8,41.29,https://www.airbnb.com/rooms/sample_26156,Peak
Sample Property 1968,4,6,4.0,9,308.46,204.49,4.3,19,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Larkspur, Bend, OR",4.5,34.27,https://www.airbnb.com/rooms/sample_28405,Shoulder
Sample Property 3289,3,3,3.0,6,152.38,186.16,4.95,298,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire condo,"Summit West, Bend, OR",5.0,25.4,https://www.airbnb.com/rooms/sample_15399,Off-Peak
Sample Property 5470,3,4,3.0,7,236.23,176.44,3.74,128,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Larkspur, Bend, OR",5.0,33.75,https://www.airbnb.com/rooms/sample_48321,Shoulder
Sample Property 1986,2,4,1.0,5,134.26,133.08,4.9,288,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Sunriver, OR",4.7,26.85,https://www.airbnb.com/rooms/sample_26985,Off-Peak
Sample Property 6208,2,3,1.0,5,131.05,126.02,4.81,72,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Sunriver, OR",4.1,26.21,https://www.airbnb.com/rooms/sample_29166,Off-Peak
Sample Property 2388,4,5,4.0,9,202.72,217.53,4.73,88,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Sunriver, OR",4.6,22.52,https://www.airbnb.com/rooms/sample_9109,Off-Peak
Sample Property 8010,3,3,3.0,6,333.94,169.65,3.75,264,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire condo,"Old Bend, Bend, OR",4.5,55.66,https://www.airbnb.com/rooms/sample_31349,Peak
Sample Property 9234,5,6,5.0,10,497.0,233.66,4.65,20,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Sunriver, OR",4.9,49.7,https://www.airbnb.com/rooms/sample_56089,Peak
